										
	몬스터 패턴 및 기믹 기획 테이블									
										
	Act	몬스터 이름(가칭)	등급	HP	핵심 기믹	설명	패턴	비고		타수는 연타+숫자로 표기(예: 연타2 << 2자릿수짜리 연타)
	1	요정	일반	150	첫 전투는 요정으로 고정		단타 / 연타1	랜덤패턴		연타1 1자릿수 연타, 3연타2 3자릿수 기본피해의 2자릿수 연타
	1	들개	일반	120	3턴마다 힘 증가 외에는 특별한 기믹 없음		단타 / 단타 / 힘얻기 반복	고정패턴		중독, 출혈 등 도트뎀은 턴 종료시 피해 적용되나, 그 턴에 전투가 종료될 경우 피해 적용되지 않음
	1	슬라임	일반	160	단타 맟 다음 턴 자기 상자 분리 / 단타	자기 상자 분리는 해당 턴에만 적용	단타+다음턴분리 / 단타	랜덤패턴		별도의 턴당 패턴 안적어놨으면 일단 단타로 링크해두기
	1	버섯인간	일반	220	플레이어 상자 잠금 / 단타 / 힘 얻기 / 연타		잠금 / 단타 / 힘 얻기 / 연타1	랜덤패턴		n단타는 n자릿수 단타
	1	개구리	일반	450	폴짝 / 개굴개굴 / 폴짝 / 쿵!	폴짝 / 개굴 / 폴짝 : 아무것도 안 함	쿵!: 3단타	고정패턴		별도의 표기 없을 경우 모든 패턴 기본피해량은 2자릿수
	1	거대 새	일반	550			연타1 / 힘+1 / 단타	고정패턴		
	1	노상강도	일반	420	공격에 출혈이 묻음(받은 피해만큼 중첩, 턴 종료 시 출혈 피해 적용 후 출혈 제거)	출혈 피해 적용시점: 플레이어 공격 후, 적 공격 전	단타	고정패턴		
	1	화이트 래빗	엘리트	650	피해량 수식 위에 1자릿수 숫자(초기 3) / 0되면 도망감(보상 안줌)	수식 위 숫자는 성냥개비 이동으로 변경 가능	1자릿수 연타 / 단타 반복 5턴째에는 힘 +2	랜덤패턴		
	1	작은 마녀	엘리트	550	플레이어 힘 감소 패턴	3턴째마다 힘 1씩 감소시키는 패턴 힘 음수일 때 여분성냥으로 양수로 전환가능	힘 감소 / 단타 / 단타	고정패턴		
	1	사냥꾼	엘리트	600	플레이어 기본 피해량 상자를 분리시킨 뒤 하나를 잠금	1턴째에 공격 + 분리, 2턴째에 공격 + 잠금	3턴째부턴 단타 / 단타 / 힘 증가 반복	고정패턴		
	1	하트 여왕	보스	800	수식위에 1자릿수 숫자(초기 5) / 0되면 즉사	0되면 수식 위 상자 사라지고 잠긴 상태의 9999데미지 패턴으로 변경	단타/연타/힘 증가 반복	고정패턴		
	1	마녀	보스	1000	플레이어 상자 옆에 [/] [1자릿수] 상자 배치, 성냥개비 무작위 4개 잠금	여분성냥으로 X로 변경 가능	단타 / 연타 / 힘 증가 반복	고정패턴		
	1	엘프	보스	750	전용 버프 "정조준": 턴 개시시 숫자 하나 제시, 해당 숫자가 플레이어 숫자 상자 중 있는 경우 입히는 최종 피해량 3배	정조준 버프는 상시 적용	단타/연타2	랜덤패턴		
	2	눈사람	일반	700	눈덩이 던지기(연타1, 연타2), 커다란 눈덩이(단타)		연타1, 연타2, 단타3	고정패턴		
	2	강도	일반	650	공격에 중독이 묻음(받은 피해의 절반만큼 중첩, 피해를 받은 뒤에도 사라지지 않음)	중독 피해 적용시점: 플레이어 공격 후, 적 공격 전	단타	랜덤패턴		
	2	유령	일반	800	단타 + 다음 턴 내 상자 분리, 연타1 + 다음 턴 자기 상자 분리	분리는 해당 턴에만 적용		랜덤패턴		
	2	마술사	일반	850	마술사의 모든 상자는 분리되어 있음 / 그중 하나의 상자는 가짜	연타 패턴으로 보이더라도 타수 상자가 가짜일 수 있음 연산 기호 상자는 항상 진짜 / 타수 상자가 가짜인 경우는 단타로 취급	연타1 / 연타2 / 단타	랜덤패턴		
	2	자동인형	일반	900	단타+힘증가 / 단타+힘증가 / 단타+힘증가 / 단타+자체 스턴 반복	자체 스턴 이후 증가한 힘 초기화		고정패턴		
	2	짱큰 쥐	일반	700	3번째 턴마다 3자릿수의 체력 회복	회복 상자 조작 가능	단타 / 연타 / 회복+힘증가	고정패턴		
	2	경비병	일반	360	피해를 받을 때, 한 번에 45 이상의 피해를 받지 않음		2단타 고정	고정패턴		
	2	점술사	엘리트	1000	초기체력 20% 이상일 때: 때릴 때마다 점술사가 자신이 가하는 피해량만큼 스택을 쌓음 초기체력 20% 이하가 됐을 때: 쌓인 스택만큼 데미지	스택이 쌓여 있는 상자가 별도로 있음(조작 가능) 2페이즈가 되면 상자가 사라지고, 그만큼 데미지(잠금 상태)	단타 / 연타 / 회복+힘증가	랜덤패턴		
	2	연금술사	엘리트	1200	홀수 턴: 공격 시 입힌 피해량 50%만큼 출혈이 묻음 짝수 턴: [출혈 아이콘] [x] [1자릿수] -> 출혈 수치 n배					
	2	지휘자	엘리트	900	턴 시작 시 잠겨있는 상자에 숫자, 잠기지 않은 상자에 개수 제시, 예시([4] [x] [2]) 전체 숫자 중 상자 속 숫자의 수가 조건을 만족하지 않으면 플레이어 기본 피해량 0취급	해당 기믹용 상자의 숫자는 카운트하지 않음				
	2	수학자	보스	1400	턴 시작 시 수식 상자 위 잠겨있는 상자에 숫자와 부등호 또는 등호 제시(예시: [>] [33]) 플레이어의 기본 피해량이 해당 조건을 만족하지 않으면 0으로 취급					
	2	역병 의사	보스	1500	홀수 턴: 공격 시 입힌 피해량만큼 중독이 묻음 짝수 턴: [중독 아이콘] [x] [1자릿수] -> 중독 수치 n배					
	2	예언자	보스	1650	초기체력의 50% / 25% 이상일 때: 때릴 때마다 예언자가 자신이 가하는 피해량만큼 스택 상자에 수치 누적 초기체력의 50% / 25% 이하가 됐을 때: 쌓인 스택만큼 잠금 데미지 주고 지금까지 쌓인 스택을 제거	스택 상자 [x] [1자리] 패턴 보유 해당 패턴의 숫자들은 잠긴 상자가 아님				
	3	강철 허수아비	일반	950	강철 허수아비의 기본 피해량 상자는 항상 잠금 상태	힘 증가 / 연타1 / 연타2		고정패턴		
	3	해파리	일반	900	해파리가 가하는 피해의 50%가 각각 출혈/중독 적용 플레이어의 출혈/중독 수치만큼 회복	단타 / 단타 / 회복		고정패턴		
	3	구체	일반	1000	4번째 턴 종료 시 자폭, 플레이어 체력 30% 잠금 피해	자폭하는 턴에 먼저 처치시 자폭하지 않음	연타1 / 연타2 / 연타3 / 자폭	고정패턴		
	3	사서	일반	1100	플레이어 숫자 상자 중 무작위 하나를 가져가 추가 피해로 사용					
	3	골렘	일반	1300	골렘의 성냥개비는 모두 이동  불가능, 제거/추가는 가능		단타	고정패턴		
	3	초롱아귀	일반	1500	상자 두 개당 하나의 상자가 빛나는 상자가 됨 / 빛나는 상자의 성냥개비를 이동/추가/제거할 경우, 초롱아귀가 힘을 1 얻음	힘 증가는 빛나는 상자 하나당 한 번씩만, 상자 두 개 건드리면 힘 +2				
	3	그림자	일반	1200	그림자에게 피해를 주거나 그림자에게 피해를 받을 때마다 잠금 디버프 하나씩 중첩 턴 시작 시 잠금 디버프 하나당 성냥개비 무작위 하나씩 잠금됨	아무 조작도 하지 않고 턴을 넘기면 잠금 디버프 전부 제거				
	3	뱀파이어	엘리트	2000	패시브: 입히는 피해의 30%만큼 체력 회복 초기 체력의 50% 이하가 됐을 때: [체력 아이콘] [X] [2자릿수] [%] 데미지 패턴	%는 성냥개비로 쓰는거 아니고 체력처럼 아이콘으로 표시				
	3	기사	엘리트	1200	피해를 받을 때, 한 번에 20 이상의 피해를 받지 않음 피해를 400 받으면 해당 버프를 없애고, 힘을 3 얻음					
	3	천체투영기	엘리트	1900	달과 별 아이콘이 수식 상자 위에 표시, 전투 개시시 달과 별에는 각각 숫자 하나씩을 할당 플레이어 기본 피해량에 달 숫자나 별 숫자 중 빠진 것 하나당 피해량 50%씩 감소(없으면 0%) 플레이어 기본 피해량 두 자리에 각각 달숫자와 별숫자가 들어가 있으면 피해 100% 적용	달과 별에 할당된 숫자는 발견될 때까지 표시되지 않음 발견된 뒤부터는 표시 / 둘 다 같은 숫자로는 나오지 않음				
	3	별관찰자	보스	3000	전투 개시시 플레이어 상자를 모두 분리, 턴 시작 시 0을 제외한 숫자를 하나씩 지정한 뒤, 별관찰자 수식상자 위 잠금된 상자에 하나씩 배치. 지정된 숫자가 들어있는 플레이어의 상자는 [0]으로 취급됨. 4번째 턴과 그 이후 매 4번째 턴, 지정숫자 3개를 이어놓은 잠금타수만큼의 연타3 패턴 "유성우"	예: [1] [3] [2]면 타수 132짜리 연타패턴 매 턴마다, 플레이어 성냥개비 무작위 3개 잠금됨				
	3	세계수	보스	3000	매 턴마다 힘 +1 / 플레이어가 0의 피해를 받으면 힘 1 감소 / 전투동안 한 번, 세계수 수식 상자 위 버튼을 눌러 세계수의 힘을 초기화시키는 대신 내 모든 성냥개비를 잠금으로 만들 수 있음.					
	3	고래	보스	3000	플레이어의 기본 피해량 상자의 앞 2자리를 00으로 취급 턴 시작 시 무작위 2자리 수가 제시되고, 해당 수를 기본 피해량 상자에 넣은 경우에는 피해 적용 초기 체력의 50%만큼 피해를 받은 경우, 위 버프가 사라지고 2페이즈 진입 2페이즈: 모든 상자가 분리되고, 플레이어의 매 턴 이동 가능 횟수가 2회로 고정.					
